Nr;Projekt;max_Teilnehmer;min_Teilnehmer;gesetzt
1;Le cinéma francais;12;4;
2;Erste Hilfe;50;1;
3;Wirtschaft und Recht;50;1;
4;Fresh&Fruits;15;1;
5;Basteln mit Papier;15;3;
6;Modell des Pompejanums bauen;25;4;
8;Lesescouts;50;1;
9;Birdwatching;12;5;
10;Nähen;10;5;
11;Tennis;15;5;
12;Spuren vergangener Zeiten;12;5;
13;Römische Cena in Franken;22;5;
14;Technik-Team;10;3;
15;Dreiecksbänke bauen;10;3;
16;Doku Frankreichaustausch;50;1;
17;Tutorenfortbildung;50;1;
18;Digitale Schule: Lernvideos;50;1;
20;Gesellschaftsspiele;15;4;
21;Recycling-Kunst;10;5;
22;Klettern;10;5;
23;Jonglage-Akrobatik;28;2;
24;Schach;22;4;
26;Karnevalistischer Tanzsport;20;1;
27;Näction;8;3;
28;Japanisches Trommeln auf der Taiko;7;2;
29;Sommer, Sonne, Bastelspaß;15;4;
30;Tischtennis;8;4;
31;P-Seminar 1;5;1;
32;P-Seminar 3;5;1;
33;P-Seminar 4;5;1;
34;P-Seminar 5;5;1;
35;P-Seminar 6;5;1;
36;Graffitibasics;10;6;
37;Mountainbike;14;6;
38;Tri-B-Ball;18;4;
39;Fairtrade macht Schule;15;8;
40;Israel-Austausch;50;1;
41;Fotografieren und Filmen;6;2;
42;Juggern;16;2;
43;Abwesend;50;1;
